Title,Video ID,Published At,Keyword,Likes,Comments,Views,year,month,Engagement_Score
Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022-08-23,tech,3407,672,135612,2022,8,0.030078459133410024
The most EXPENSIVE thing I own.,b3x28s61q3c,2022-08-24,tech,76779,4306,1758063,2022,8,0.046121782894014605
My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,tech,63825,3338,1564007,2022,8,0.04294290242946483
Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,2022-08-23,tech,71566,1426,922918,2022,8,0.0790882830327288
Best Back to School Tech 2022!,ErMwWXQxHp0,2022-08-08,tech,96513,5155,1855644,2022,8,0.054788526247491434
Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021-11-05,tech,33570,1643,943119,2021,11,0.037336751777877444
Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022-06-13,tech,135047,9367,5937790,2022,6,0.024321169997591697
I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022-08-07,tech,216935,12605,4782514,2022,8,0.0479956775871435
15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021-12-08,tech,45565,2882,7001236,2021,12,0.006919778164884029
Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022-07-14,tech,24252,1068,667767,2022,7,0.03791741730274183
Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,2022-08-15,tech,118001,4123,2359142,2022,8,0.051766277739958004
Cool Tech Under $50 - August!,pT_9hntWj34,2022-08-06,tech,20999,3091,413179,2022,8,0.05830402803627484
Cool Back to School Tech 2022 🔥 (Under $100),cj4lxmHQV0o,2022-08-13,tech,15322,547,389114,2022,8,0.04078239282061298
Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,2021-12-15,tech,17866,157,444953,2021,12,0.040505401694111515
My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,2022-07-09,tech,13217,442,371563,2022,7,0.036760926141731015
Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,2021-06-04,tech,26890,4999,1633059,2021,6,0.01952715731642274
10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,2021-08-13,tech,9562,199,760249,2021,8,0.012839214520505782
17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,2022-07-21,tech,11743,143,1086568,2022,7,0.010939030046899964
Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,2022-08-14,tech,146978,11105,3186890,2022,8,0.049604159541120026
I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,2022-03-25,tech,363771,13609,11422924,2022,3,0.03303707527074504
iPhone 14 Lineup is NOT what you Expected.. (plot twist),HMqyLcNmsec,2022-08-24,tech,2117,486,63650,2022,8,0.0408955223880597
Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,Q2ysbTVlPdk,2022-05-12,tech,42841,1357,1280387,2022,5,0.03451925082025981
Cool Tech Under $50 - July!,zI8KQq5zmyM,2022-07-02,tech,23689,2842,530889,2022,7,0.04997466513715673
Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED,iEAlq1GPgnc,2021-06-18,tech,55231,2175,2122433,2021,6,0.027047261326977105
Battle Of The Tech - Super Bike Vs World Superbike,IHnhSxizVOA,2022-07-31,tech,1289,183,35948,2022,7,0.04094803605207522
OnePlus 10R vs 10T | Unboxing &amp; Comparison,Ql1-RZ2FUrc,2022-08-24,tech,970,207,23175,2022,8,0.050787486515641855
Tech Hiring Slowdown: What’s Different This Time? | Tech News Briefing Podcast | WSJ,Fpof56HU6SY,2022-08-10,tech,1608,273,78520,2022,8,0.023955680081507898
10 New Tech Gadgets 2022 | You Can Buy Right Now,bbbQ_X45FaA,2022-05-27,tech,1452,38,63599,2022,5,0.023428041321404424
Taste Expert Answers Questions From Twitter | Tech Support | WIRED,MtMkU-1p7-0,2022-06-03,tech,35758,2056,1006704,2022,6,0.03756218312433446
Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED,QYlXL_8ei6g,2022-08-19,tech,8725,790,257848,2022,8,0.036901585430175916
James Dyson Answers Design Questions From Twitter | Tech Support | WIRED,zFCFe38EIfE,2021-11-30,tech,110145,3289,2954979,2021,11,0.038387413243884304
My Massive Tech Unboxing 46.0!,LOrkbagIpiY,2022-05-28,tech,12188,326,304037,2022,5,0.041159464144166664
Cool Tech Under $50 - April!,UK5OHUmIgcc,2022-04-02,tech,59458,4159,1541386,2022,4,0.04127259492430838
15 Emerging Technologies That Will Change Our World,My2Tr3k1liw,2022-05-14,tech,3494,136,589007,2022,5,0.00616291487197945
Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED,IUwqf08-FKU,2022-05-05,tech,36423,1902,1085076,2022,5,0.03532010661004391
What Is The Best Position For Descending? | GCN Tech Clinic,U48UrDpXGog,2022-08-24,tech,941,221,25594,2022,8,0.0454012659217004
My Everyday Tech: 2022!,-pTGc7cIBIA,2022-01-07,tech,134194,6102,4098623,2022,1,0.034230032867136106
INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE,_f8Gb-vojoU,2022-03-16,tech,42075,1820,7188648,2022,3,0.0061061551490628
"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ",MAeXrShneoQ,2022-08-24,tech,709,128,25745,2022,8,0.032511167216935324
"I Did a Terrible Job of This - Intel $5,000 Extreme Tech Upgrade",AREK4H8k7Ng,2022-07-23,tech,78852,3926,1889567,2022,7,0.04380792001553795
Cool Tech Under $50 - June!,B0HI0RTZdJw,2022-06-04,tech,32102,3243,786765,2022,6,0.044924469187114326
18 DEADLY Tech Fails that need to be BANNED.,Wuq7lS9rljw,2022-07-02,tech,188623,7464,4195072,2022,7,0.04674222516323915
I bought the BIGGEST Tech in the world.,VuG4BcghOSg,2021-12-04,tech,343227,20854,9618335,2021,12,0.03785280924401157
Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED,o-jUQhCeazQ,2022-08-04,tech,43960,1767,791624,2022,8,0.05776353420310652
Sushi Chef Answers Sushi Questions From Twitter | Tech Support | WIRED,-ju6y-pHByw,2022-05-26,tech,77411,2098,2474364,2022,5,0.03213310571928787
Futurum Research&#39;s Daniel Newman breaks down tech stocks to watch,-VVLmBXHvL8,2022-08-24,tech,24,45,3461,2022,8,0.019936434556486565
My Favorite Tech of the Month!,UxjgqBamqDU,2022-07-30,tech,4492,169,274201,2022,7,0.01699847921780008
Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED,YvZPU-KBCiQ,2022-06-08,tech,51846,2371,1156785,2022,6,0.046868692107867926
How Biden&#39;s student loan forgiveness program will work,--ixiTypG8g,2022-08-24,news,1029,2347,97434,2022,8,0.03464909579818133
Primary results in New York and Florida hold national implications for Democrats,4RkfqEWK2FI,2022-08-24,news,534,538,57858,2022,8,0.01852812057105327
Ex-CIA director predicts what&#39;s next in Russia-Ukraine war,GK8CFuXExLw,2022-08-24,news,8526,3934,544884,2022,8,0.022867252479426815
President Zelenskyy promises victory over Russia on Ukrainian Independence Day,95MMQzBkE30,2022-08-24,news,588,887,69951,2022,8,0.021086188903661134
"6 months later, what&#39;s next in the Ukraine war? l ABC News",nv7owOSprnI,2022-08-24,news,137,222,18531,2022,8,0.01937294263666289
More than 700 pages of classified documents found at Mar-a-Lago,rqbFOOt1q9M,2022-08-24,news,848,1384,86855,2022,8,0.02569800241782281
Nadler Celebrates Win In New York House Primary,_XFJpfSFcpU,2022-08-24,news,827,1653,131012,2022,8,0.018929563704088177
Biden Announces Plan For Federal Student Loan Debt Relief,fNHmQdrlIZE,2022-08-24,news,1200,2841,54596,2022,8,0.07401641145871492
Morning News NOW Full Broadcast - Aug. 23,zvS8Fmxv1_U,2022-08-23,news,1167,180,235019,2022,8,0.005731451499665984
Biden plans to forgive $300 billion in student loan debt: Report,OTFKyW-vc_Y,2022-08-24,news,1573,2670,60528,2022,8,0.07009978852762358
ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,IH3DYzS4MdI,2022-08-23,news,1145,793,106127,2022,8,0.018261139954959624
More than 100 classified Trump docs recovered from Mar-a-Lago in January,q7sXUpqA_X4,2022-08-23,news,474,1553,75301,2022,8,0.026918633218682354
"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",NS-9bd2hOOQ,2022-08-24,news,82,26,17145,2022,8,0.006299212598425197
JORNAL DA MANHÃ - 24/08/2022,0IH09JBETbI,2022-08-24,news,23828,47,500097,2022,8,0.047740738296770426
Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,lX3EBSNjPII,2022-08-23,news,775,1517,127082,2022,8,0.018035599062022945
Netanyahu: This will make the Middle East a nuclear powder keg,Tey5qEth4oA,2022-08-24,news,8484,2192,237313,2022,8,0.044987000290755245
Nightly News Full Broadcast - Aug. 19,L5p4Nov0KkU,2022-08-20,news,7946,1559,905023,2022,8,0.010502495516688526
"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",MSTmUJU48g4,2022-08-21,news,510,560,34715,2022,8,0.03082241106150079
Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News,Sdm1WsGGU0w,2022-08-24,news,129,7,10642,2022,8,0.012779552715654952
Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,2022-08-24,news,1288,3,172513,2022,8,0.007483493997553808
【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,2022-08-24,news,257,1,62189,2022,8,0.004148643650806413
අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,2022-08-24,news,612,18,60835,2022,8,0.010355880660803814
"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,2022-08-23,news,2385,1349,288722,2022,8,0.0129328558267122
Deadly car bomb detonates outside Moscow,--hxd1CrOqg,2022-08-22,news,6379,4853,808787,2022,8,0.013887463571991143
Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,2022-08-23,news,1009,451,127803,2022,8,0.011423831991424301
Potential mass shooting foiled in Washington state,lHDn25SLgdk,2022-08-22,news,5630,1848,533947,2022,8,0.01400513534114809
🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,2022-08-24,news,686,18,56683,2022,8,0.012419949543954978
Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,2022-08-19,news,7277,1294,796750,2022,8,0.010757452149356762
Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,2022-08-19,news,695,121,159877,2022,8,0.005103923641299249
Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,2022-08-20,news,15854,5373,1465011,2022,8,0.014489311001760397
"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,2022-08-22,news,1030,10,187892,2022,8,0.005535094628829327
🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,2022-08-24,news,198,12,17763,2022,8,0.011822327309576086
Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,2022-08-18,news,7342,1531,932432,2022,8,0.009515975427698749
UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,2022-08-23,news,286,22,23135,2022,8,0.013313161875945537
